number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
132 ,1 ,3 ,3 ,3 ,2 ,,,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,2 ,3 
133 ,2 ,3 ,2 ,3 ,1 ,2 ,5 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
134 ,1 ,2 ,1 ,3 ,5 ,2 ,1 ,2 ,5 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,3 ,3 
135 ,1 ,2 ,2 ,5 ,1 ,4 ,5 ,5 ,5 ,5 ,5 ,3 ,5 ,5 ,3 ,1 ,5 ,3 ,5 
136 ,1 ,3 ,2 ,2 ,1 ,3 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 
137 ,2 ,2 ,2 ,3 ,1 ,5 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,2 
138 ,2 ,2 ,2 ,3 ,2 ,1 ,5 ,5 ,5 ,5 ,2 ,3 ,3 ,2 ,2 ,1 ,2 ,3 ,5 
139 ,2 ,1 ,5 ,4 ,5 ,4 ,1 ,3 ,2 ,5 ,2 ,1 ,2 ,2 ,2 ,2 ,5 ,5 ,2 
140 ,2 ,2 ,3 ,4 ,1 ,5 ,4 ,5 ,5 ,5 ,2 ,5 ,2 ,5 ,5 ,2 ,2 ,2 ,2 
141 ,2 ,2 ,2 ,4 ,5 ,4 ,1 ,2 ,5 ,5 ,3 ,2 ,2 ,5 ,2 ,2 ,3 ,2 ,3 
142 ,2 ,2 ,1 ,3 ,5 ,1 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,5 ,3 ,1 ,3 ,3 ,3 
143 ,1 ,3 ,5 ,5 ,3 ,2 ,5 ,2 ,5 ,3 ,2 ,5 ,2 ,1 ,2 ,2 ,2 ,2 ,2 
144 ,2 ,2 ,4 ,5 ,1 ,4 ,5 ,3 ,2 ,2 ,2 ,5 ,5 ,5 ,2 ,1 ,3 ,2 ,2 
145 ,2 ,2 ,1 ,3 ,1 ,4 ,5 ,2 ,5 ,5 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 
146 ,1 ,3 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,3 ,3 
147 ,2 ,2 ,2 ,4 ,1 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,2 ,3 ,3 
148 ,2 ,2 ,1 ,5 ,1 ,5 ,2 ,5 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,5 ,3 
149 ,1 ,2 ,2 ,3 ,2 ,5 ,,3 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,1 ,1 ,1 
150 ,2 ,2 ,2 ,2 ,5 ,2 ,1 ,3 ,5 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,1 
151 ,1 ,3 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 
152 ,2 ,2 ,4 ,3 ,5 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,1 ,3 ,2 ,3 
153 ,2 ,3 ,1 ,3 ,5 ,1 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
154 ,1 ,3 ,1 ,3 ,1 ,5 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 
155 ,1 ,1 ,2 ,3 ,5 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,3 
156 ,1 ,1 ,2 ,4 ,1 ,2 ,4 ,5 ,5 ,5 ,2 ,5 ,5 ,5 ,5 ,1 ,3 ,2 ,2 
157 ,1 ,1 ,1 ,4 ,5 ,1 ,2 ,2 ,5 ,2 ,2 ,5 ,2 ,2 ,5 ,1 ,2 ,2 ,3 
160 ,1 ,1 ,4 ,3 ,5 ,,,3 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,3 
162 ,1 ,1 ,1 ,4 ,5 ,4 ,3 ,2 ,5 ,5 ,5 ,5 ,3 ,5 ,2 ,1 ,2 ,2 ,3 
163 ,1 ,1 ,2 ,4 ,5 ,,,3 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,1 ,3 ,2 ,2 
164 ,1 ,2 ,3 ,3 ,,,,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,3 ,3 
165 ,2 ,2 ,2 ,4 ,5 ,2 ,4 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,1 ,3 ,3 ,3 
166 ,1 ,2 ,2 ,4 ,4 ,2 ,5 ,2 ,2 ,3 ,3 ,2 ,2 ,5 ,3 ,2 ,2 ,2 ,3 
167 ,1 ,2 ,3 ,3 ,5 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
168 ,1 ,1 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 
169 ,1 ,2 ,3 ,2 ,5 ,2 ,1 ,1 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
170 ,1 ,2 ,2 ,3 ,1 ,2 ,5 ,2 ,5 ,3 ,3 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
171 ,1 ,3 ,2 ,4 ,5 ,4 ,1 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,3 
172 ,2 ,1 ,4 ,4 ,5 ,4 ,1 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,5 ,5 ,3 
173 ,2 ,2 ,3 ,4 ,1 ,4 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
174 ,1 ,2 ,2 ,4 ,1 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,1 ,3 ,3 ,2 
175 ,1 ,1 ,3 ,4 ,1 ,5 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
176 ,1 ,1 ,3 ,4 ,5 ,4 ,1 ,2 ,5 ,3 ,2 ,5 ,5 ,5 ,5 ,1 ,2 ,2 ,2 
177 ,1 ,2 ,1 ,4 ,1 ,2 ,5 ,3 ,5 ,3 ,3 ,3 ,2 ,3 ,3 ,1 ,3 ,2 ,2 
178 ,1 ,1 ,1 ,3 ,1 ,1 ,1 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 
179 ,1 ,1 ,1 ,4 ,1 ,2 ,5 ,4 ,4 ,2 ,4 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,2 
180 ,1 ,1 ,1 ,2 ,1 ,5 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
181 ,1 ,1 ,1 ,3 ,5 ,1 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
182 ,1 ,3 ,2 ,3 ,5 ,3 ,1 ,3 ,3 ,3 ,4 ,3 ,3 ,4 ,4 ,1 ,3 ,2 ,3 
183 ,1 ,2 ,4 ,3 ,1 ,3 ,,4 ,4 ,4 ,3 ,4 ,4 ,4 ,3 ,2 ,3 ,3 ,4 
184 ,1 ,1 ,4 ,3 ,1 ,5 ,2 ,4 ,5 ,3 ,4 ,4 ,4 ,1 ,4 ,1 ,4 ,4 ,3 
185 ,2 ,1 ,2 ,3 ,1 ,5 ,2 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,1 ,3 ,3 ,3 
186 ,1 ,2 ,1 ,3 ,1 ,2 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,4 ,4 ,1 ,3 ,3 ,2 
187 ,1 ,2 ,2 ,3 ,2 ,5 ,1 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
188 ,1 ,2 ,1 ,4 ,5 ,2 ,1 ,4 ,5 ,4 ,4 ,5 ,5 ,4 ,4 ,1 ,3 ,2 ,3 
189 ,2 ,2 ,2 ,4 ,1 ,3 ,5 ,4 ,4 ,3 ,4 ,4 ,4 ,3 ,3 ,2 ,3 ,3 ,3 
190 ,1 ,2 ,2 ,3 ,5 ,3 ,1 ,4 ,4 ,3 ,3 ,2 ,3 ,2 ,3 ,2 ,3 ,3 ,2 
191 ,1 ,1 ,2 ,3 ,1 ,2 ,5 ,4 ,5 ,5 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,3 
192 ,1 ,2 ,2 ,4 ,5 ,1 ,4 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,3 ,3 
193 ,1 ,2 ,1 ,3 ,5 ,1 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,1 ,3 ,3 ,3 
194 ,1 ,2 ,2 ,3 ,5 ,4 ,3 ,4 ,4 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,2 
195 ,,2 ,1 ,3 ,1 ,2 ,5 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
196 ,1 ,2 ,2 ,3 ,5 ,1 ,2 ,4 ,4 ,2 ,3 ,4 ,3 ,3 ,2 ,1 ,4 ,4 ,2 
197 ,1 ,2 ,2 ,3 ,5 ,,,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,4 ,2 ,3 
198 ,1 ,2 ,2 ,4 ,5 ,4 ,1 ,1 ,4 ,3 ,2 ,2 ,3 ,4 ,4 ,2 ,3 ,2 ,2 
199 ,1 ,2 ,1 ,5 ,1 ,5 ,3 ,4 ,5 ,4 ,5 ,5 ,4 ,5 ,4 ,2 ,3 ,5 ,3 
200 ,1 ,2 ,3 ,3 ,1 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
201 ,2 ,1 ,3 ,4 ,1 ,2 ,3 ,2 ,4 ,3 ,3 ,3 ,3 ,4 ,3 ,2 ,3 ,3 ,2 
202 ,2 ,2 ,3 ,2 ,5 ,1 ,2 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
203 ,1 ,2 ,1 ,4 ,5 ,1 ,2 ,4 ,4 ,3 ,4 ,3 ,3 ,3 ,3 ,2 ,3 ,4 ,3 
204 ,2 ,1 ,4 ,3 ,1 ,4 ,2 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,2 
205 ,2 ,1 ,2 ,4 ,1 ,2 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,5 ,2 ,2 ,3 ,3 ,4 
206 ,1 ,3 ,1 ,3 ,1 ,,,2 ,5 ,3 ,3 ,3 ,3 ,4 ,3 ,1 ,2 ,3 ,3 
207 ,1 ,2 ,3 ,4 ,5 ,4 ,2 ,4 ,5 ,3 ,4 ,4 ,5 ,5 ,3 ,1 ,4 ,4 ,3 
208 ,1 ,3 ,2 ,3 ,4 ,2 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,4 
210 ,2 ,3 ,4 ,3 ,5 ,1 ,4 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,1 ,4 ,4 ,3 
211 ,1 ,2 ,1 ,3 ,2 ,5 ,1 ,5 ,5 ,4 ,5 ,3 ,4 ,5 ,3 ,2 ,4 ,3 ,3 
212 ,1 ,2 ,2 ,4 ,5 ,3 ,4 ,2 ,4 ,4 ,3 ,3 ,3 ,4 ,3 ,2 ,3 ,3 ,3 
213 ,2 ,2 ,1 ,2 ,5 ,1 ,2 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 
214 ,1 ,2 ,4 ,3 ,1 ,5 ,4 ,2 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
215 ,1 ,3 ,3 ,4 ,5 ,1 ,2 ,3 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,1 ,3 ,3 ,4 
216 ,1 ,3 ,3 ,4 ,1 ,4 ,5 ,4 ,4 ,3 ,2 ,3 ,2 ,3 ,3 ,2 ,4 ,4 ,4 
217 ,1 ,3 ,2 ,3 ,3 ,2 ,5 ,2 ,3 ,4 ,3 ,3 ,4 ,3 ,2 ,2 ,2 ,2 ,2 
218 ,1 ,2 ,1 ,5 ,5 ,1 ,3 ,3 ,4 ,3 ,3 ,3 ,2 ,4 ,4 ,2 ,5 ,4 ,3 
219 ,,2 ,3 ,4 ,5 ,1 ,2 ,3 ,3 ,4 ,2 ,4 ,2 ,4 ,3 ,1 ,4 ,4 ,3 
220 ,2 ,1 ,2 ,3 ,5 ,4 ,1 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,3 ,2 ,3 ,3 ,3 
221 ,1 ,1 ,3 ,4 ,1 ,4 ,2 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,3 ,1 ,4 ,4 ,4 
222 ,1 ,1 ,3 ,4 ,5 ,,,4 ,4 ,3 ,5 ,5 ,3 ,4 ,3 ,2 ,4 ,4 ,3 
223 ,1 ,2 ,2 ,2 ,5 ,,,3 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,3 
225 ,1 ,2 ,2 ,3 ,1 ,2 ,5 ,5 ,5 ,4 ,3 ,3 ,2 ,5 ,3 ,1 ,3 ,3 ,2 
226 ,1 ,1 ,3 ,4 ,1 ,4 ,5 ,2 ,4 ,4 ,4 ,4 ,4 ,5 ,4 ,2 ,4 ,4 ,3 
227 ,1 ,2 ,4 ,4 ,5 ,,,4 ,5 ,4 ,4 ,3 ,2 ,3 ,3 ,2 ,4 ,3 ,2 
228 ,2 ,2 ,3 ,4 ,1 ,2 ,5 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,3 ,2 ,3 ,3 ,3 
229 ,2 ,2 ,1 ,5 ,5 ,3 ,1 ,3 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,2 ,3 ,3 ,3 
230 ,1 ,2 ,2 ,3 ,1 ,4 ,2 ,3 ,4 ,2 ,2 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
231 ,2 ,2 ,2 ,3 ,5 ,4 ,1 ,3 ,2 ,3 ,3 ,3 ,4 ,4 ,3 ,2 ,3 ,3 ,3 
232 ,1 ,2 ,3 ,2 ,5 ,2 ,1 ,3 ,2 ,2 ,1 ,4 ,2 ,2 ,1 ,2 ,3 ,4 ,2 
233 ,1 ,1 ,1 ,3 ,5 ,1 ,4 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,2 ,3 ,3 ,3 
234 ,1 ,2 ,2 ,4 ,5 ,1 ,3 ,4 ,5 ,5 ,5 ,4 ,3 ,4 ,4 ,2 ,4 ,4 ,4 
235 ,1 ,2 ,2 ,4 ,5 ,1 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,4 ,3 ,2 ,3 ,3 ,3 
236 ,1 ,2 ,3 ,3 ,1 ,5 ,4 ,4 ,4 ,3 ,3 ,4 ,3 ,5 ,3 ,2 ,3 ,4 ,2 
237 ,1 ,2 ,3 ,3 ,1 ,2 ,4 ,3 ,4 ,4 ,4 ,4 ,3 ,4 ,3 ,2 ,4 ,4 ,3 
238 ,1 ,2 ,2 ,4 ,1 ,5 ,4 ,4 ,4 ,4 ,3 ,3 ,4 ,4 ,3 ,2 ,4 ,3 ,4 
239 ,1 ,1 ,4 ,4 ,4 ,5 ,2 ,3 ,4 ,3 ,4 ,4 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
240 ,2 ,2 ,1 ,4 ,1 ,3 ,5 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
241 ,1 ,1 ,1 ,3 ,1 ,5 ,2 ,4 ,3 ,3 ,3 ,4 ,3 ,4 ,2 ,2 ,3 ,3 ,3 
242 ,1 ,2 ,3 ,3 ,5 ,2 ,1 ,4 ,3 ,3 ,4 ,4 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
243 ,1 ,1 ,4 ,4 ,1 ,3 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,4 ,4 ,3 
244 ,2 ,2 ,1 ,3 ,1 ,4 ,5 ,3 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,2 ,4 ,4 ,3 
245 ,2 ,2 ,2 ,4 ,3 ,2 ,1 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
246 ,1 ,2 ,1 ,3 ,5 ,3 ,1 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
247 ,2 ,1 ,5 ,3 ,1 ,2 ,5 ,4 ,4 ,4 ,3 ,3 ,2 ,3 ,2 ,1 ,3 ,3 ,3 
248 ,2 ,2 ,3 ,3 ,5 ,2 ,1 ,3 ,4 ,3 ,3 ,3 ,3 ,4 ,3 ,2 ,2 ,2 ,2 
249 ,1 ,1 ,2 ,4 ,1 ,3 ,2 ,4 ,4 ,3 ,4 ,4 ,4 ,4 ,3 ,1 ,3 ,3 ,4 
250 ,2 ,2 ,3 ,3 ,5 ,1 ,2 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
251 ,1 ,2 ,2 ,2 ,1 ,5 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,3 ,1 ,3 ,4 ,4 
252 ,1 ,3 ,2 ,3 ,5 ,2 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,1 ,2 ,2 ,2 
253 ,2 ,1 ,2 ,4 ,1 ,2 ,5 ,3 ,4 ,4 ,3 ,3 ,3 ,4 ,4 ,1 ,2 ,2 ,3 
254 ,2 ,1 ,3 ,3 ,1 ,5 ,,3 ,4 ,3 ,3 ,4 ,3 ,3 ,3 ,2 ,4 ,4 ,4 
255 ,1 ,2 ,4 ,3 ,5 ,4 ,3 ,3 ,4 ,4 ,3 ,4 ,3 ,4 ,3 ,2 ,2 ,2 ,3 
256 ,2 ,1 ,2 ,3 ,2 ,5 ,3 ,3 ,4 ,3 ,4 ,4 ,4 ,4 ,3 ,1 ,3 ,3 ,3 
257 ,1 ,2 ,2 ,3 ,1 ,5 ,2 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,3 ,1 ,4 ,4 ,4 
258 ,1 ,1 ,4 ,5 ,4 ,5 ,1 ,4 ,5 ,5 ,3 ,3 ,3 ,5 ,3 ,2 ,5 ,5 ,3 
259 ,1 ,2 ,1 ,5 ,5 ,4 ,1 ,4 ,5 ,3 ,4 ,4 ,4 ,5 ,3 ,2 ,2 ,5 ,2 
