700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  마트 개수 :  0,,,  0,  0,검색어 :  마트 개수 :  1,,,  1,  1,검색어 :  마트 개수 :  72,,, 72, 72
검색어 :  마트 개수 :  2,,,  2,  2,검색어 :  마트 개수 :  8,,,  8,  8,검색어 :  마트 개수 :  55,,, 55, 55
검색어 :  마트 개수 :  3,,,  3,  3,검색어 :  마트 개수 :  4,,,  4,  4,검색어 :  마트 개수 :  9,,,  9,  9
검색어 :  마트 개수 :  2,,,  2,  2,검색어 :  마트 개수 :  4,,,  4,  4,검색어 :  마트 개수 :  21,,, 21, 21
검색어 :  마트 개수 :  24,,, 24, 24,검색어 :  마트 개수 :  51,,, 51, 51,검색어 :  마트 개수 :  86,,, 86, 86
검색어 :  마트 개수 :  6,,,  6,  6,검색어 :  마트 개수 :  14,,, 14, 14,검색어 :  마트 개수 :  71,,, 71, 71
검색어 :  마트 개수 :  13,,, 13, 13,검색어 :  마트 개수 :  30,,, 30, 30,검색어 :  마트 개수 :  76,,, 76, 76
검색어 :  마트 개수 :  2,,,  2,  2,검색어 :  마트 개수 :  4,,,  4,  4,검색어 :  마트 개수 :  21,,, 21, 21
검색어 :  마트 개수 :  1,,,  1,  1,검색어 :  마트 개수 :  2,,,  2,  2,검색어 :  마트 개수 :  5,,,  5,  5
검색어 :  마트 개수 :  6,,,  6,  6,검색어 :  마트 개수 :  20,,, 20, 20,검색어 :  마트 개수 :  80,,, 80, 80
==========[ 편의점 ] ==========,,,===,===,==========[ 편의점 ] ==========,,,===,===,==========[ 편의점 ] ==========,,,===,===
검색어 :  편의점 개수 :  2,,,  2,  2,검색어 :  편의점 개수 :  5,,,  5,  5,검색어 :  편의점 개수 :  73,,, 73, 73
검색어 :  편의점 개수 :  5,,,  5,  5,검색어 :  편의점 개수 :  11,,, 11, 11,검색어 :  편의점 개수 :  69,,, 69, 69
검색어 :  편의점 개수 :  10,,, 10, 10,검색어 :  편의점 개수 :  13,,, 13, 13,검색어 :  편의점 개수 :  26,,, 26, 26
검색어 :  편의점 개수 :  2,,,  2,  2,검색어 :  편의점 개수 :  7,,,  7,  7,검색어 :  편의점 개수 :  41,,, 41, 41
검색어 :  편의점 개수 :  25,,, 25, 25,검색어 :  편의점 개수 :  43,,, 43, 43,검색어 :  편의점 개수 :  99,,, 99, 99
검색어 :  편의점 개수 :  6,,,  6,  6,검색어 :  편의점 개수 :  17,,, 17, 17,검색어 :  편의점 개수 :  53,,, 53, 53
검색어 :  편의점 개수 :  22,,, 22, 22,검색어 :  편의점 개수 :  40,,, 40, 40,검색어 :  편의점 개수 :  107,,,107,107
검색어 :  편의점 개수 :  2,,,  2,  2,검색어 :  편의점 개수 :  7,,,  7,  7,검색어 :  편의점 개수 :  41,,, 41, 41
검색어 :  편의점 개수 :  0,,,  0,  0,검색어 :  편의점 개수 :  1,,,  1,  1,검색어 :  편의점 개수 :  14,,, 14, 14
검색어 :  편의점 개수 :  11,,, 11, 11,검색어 :  편의점 개수 :  28,,, 28, 28,검색어 :  편의점 개수 :  116,,,116,116
==========[ 어린이집 ] ==========,,,===,===,==========[ 어린이집 ] ==========,,,===,===,==========[ 어린이집 ] ==========,,,===,===
검색어 :  어린이집 개수 :  1,,,  1,  1,검색어 :  어린이집 개수 :  1,,,  1,  1,검색어 :  어린이집 개수 :  47,,, 47, 47
검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  1,,,  1,  1,검색어 :  어린이집 개수 :  28,,, 28, 28
검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  1,,,  1,  1,검색어 :  어린이집 개수 :  1,,,  1,  1
검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  14,,, 14, 14
검색어 :  어린이집 개수 :  18,,, 18, 18,검색어 :  어린이집 개수 :  31,,, 31, 31,검색어 :  어린이집 개수 :  62,,, 62, 62
검색어 :  어린이집 개수 :  12,,, 12, 12,검색어 :  어린이집 개수 :  19,,, 19, 19,검색어 :  어린이집 개수 :  41,,, 41, 41
검색어 :  어린이집 개수 :  5,,,  5,  5,검색어 :  어린이집 개수 :  31,,, 31, 31,검색어 :  어린이집 개수 :  79,,, 79, 79
검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  14,,, 14, 14
검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  0,,,  0,  0,검색어 :  어린이집 개수 :  5,,,  5,  5
검색어 :  어린이집 개수 :  4,,,  4,  4,검색어 :  어린이집 개수 :  34,,, 34, 34,검색어 :  어린이집 개수 :  87,,, 87, 87
==========[ 유치원 ] ==========,,,===,===,==========[ 유치원 ] ==========,,,===,===,==========[ 유치원 ] ==========,,,===,===
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  20,,, 20, 20
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  4,,,  4,  4
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  3,,,  3,  3
검색어 :  유치원 개수 :  7,,,  7,  7,검색어 :  유치원 개수 :  10,,, 10, 10,검색어 :  유치원 개수 :  18,,, 18, 18
검색어 :  유치원 개수 :  1,,,  1,  1,검색어 :  유치원 개수 :  3,,,  3,  3,검색어 :  유치원 개수 :  10,,, 10, 10
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  2,,,  2,  2,검색어 :  유치원 개수 :  11,,, 11, 11
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  3,,,  3,  3
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  1,,,  1,  1
검색어 :  유치원 개수 :  1,,,  1,  1,검색어 :  유치원 개수 :  2,,,  2,  2,검색어 :  유치원 개수 :  15,,, 15, 15
==========[ 학교 ] ==========,,,===,===,==========[ 학교 ] ==========,,,===,===,==========[ 학교 ] ==========,,,===,===
검색어 :  학교 개수 :  4,,,  4,  4,검색어 :  학교 개수 :  4,,,  4,  4,검색어 :  학교 개수 :  53,,, 53, 53
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  12,,, 12, 12
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  1,,,  1,  1
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  9,,,  9,  9
검색어 :  학교 개수 :  16,,, 16, 16,검색어 :  학교 개수 :  25,,, 25, 25,검색어 :  학교 개수 :  66,,, 66, 66
검색어 :  학교 개수 :  3,,,  3,  3,검색어 :  학교 개수 :  7,,,  7,  7,검색어 :  학교 개수 :  20,,, 20, 20
검색어 :  학교 개수 :  1,,,  1,  1,검색어 :  학교 개수 :  8,,,  8,  8,검색어 :  학교 개수 :  46,,, 46, 46
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  9,,,  9,  9
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  8,,,  8,  8
검색어 :  학교 개수 :  2,,,  2,  2,검색어 :  학교 개수 :  7,,,  7,  7,검색어 :  학교 개수 :  43,,, 43, 43
==========[ 주차장 ] ==========,,,===,===,==========[ 주차장 ] ==========,,,===,===,==========[ 주차장 ] ==========,,,===,===
검색어 :  주차장 개수 :  5,,,  5,  5,검색어 :  주차장 개수 :  8,,,  8,  8,검색어 :  주차장 개수 :  64,,, 64, 64
검색어 :  주차장 개수 :  11,,, 11, 11,검색어 :  주차장 개수 :  18,,, 18, 18,검색어 :  주차장 개수 :  86,,, 86, 86
검색어 :  주차장 개수 :  8,,,  8,  8,검색어 :  주차장 개수 :  14,,, 14, 14,검색어 :  주차장 개수 :  29,,, 29, 29
검색어 :  주차장 개수 :  33,,, 33, 33,검색어 :  주차장 개수 :  49,,, 49, 49,검색어 :  주차장 개수 :  100,,,100,100
검색어 :  주차장 개수 :  51,,, 51, 51,검색어 :  주차장 개수 :  68,,, 68, 68,검색어 :  주차장 개수 :  139,,,139,139
검색어 :  주차장 개수 :  6,,,  6,  6,검색어 :  주차장 개수 :  9,,,  9,  9,검색어 :  주차장 개수 :  44,,, 44, 44
검색어 :  주차장 개수 :  25,,, 25, 25,검색어 :  주차장 개수 :  48,,, 48, 48,검색어 :  주차장 개수 :  166,,,166,166
검색어 :  주차장 개수 :  33,,, 33, 33,검색어 :  주차장 개수 :  49,,, 49, 49,검색어 :  주차장 개수 :  100,,,100,100
검색어 :  주차장 개수 :  11,,, 11, 11,검색어 :  주차장 개수 :  24,,, 24, 24,검색어 :  주차장 개수 :  87,,, 87, 87
검색어 :  주차장 개수 :  7,,,  7,  7,검색어 :  주차장 개수 :  15,,, 15, 15,검색어 :  주차장 개수 :  105,,,105,105
==========[ 공영주차장 ] ==========,,,===,===,==========[ 공영주차장 ] ==========,,,===,===,==========[ 공영주차장 ] ==========,,,===,===
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  13,,, 13, 13
검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  7,,,  7,  7
검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  8,,,  8,  8,검색어 :  공영주차장 개수 :  12,,, 12, 12
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  3,,,  3,  3,검색어 :  공영주차장 개수 :  7,,,  7,  7,검색어 :  공영주차장 개수 :  21,,, 21, 21
검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  11,,, 11, 11
검색어 :  공영주차장 개수 :  10,,, 10, 10,검색어 :  공영주차장 개수 :  28,,, 28, 28,검색어 :  공영주차장 개수 :  108,,,108,108
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  4,,,  4,  4,검색어 :  공영주차장 개수 :  32,,, 32, 32
==========[ 주유소 ] ==========,,,===,===,==========[ 주유소 ] ==========,,,===,===,==========[ 주유소 ] ==========,,,===,===
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  10,,, 10, 10
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  7,,,  7,  7
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  4,,,  4,  4
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  11,,, 11, 11
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  8,,,  8,  8
검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  6,,,  6,  6,검색어 :  주유소 개수 :  20,,, 20, 20
검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  4,,,  4,  4,검색어 :  주유소 개수 :  10,,, 10, 10
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  11,,, 11, 11
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  4,,,  4,  4
검색어 :  주유소 개수 :  0,,,  0,  0,검색어 :  주유소 개수 :  0,,,  0,  0,검색어 :  주유소 개수 :  4,,,  4,  4
==========[ 충전소 ] ==========,,,===,===,==========[ 충전소 ] ==========,,,===,===,==========[ 충전소 ] ==========,,,===,===
검색어 :  충전소 개수 :  4,,,  4,  4,검색어 :  충전소 개수 :  5,,,  5,  5,검색어 :  충전소 개수 :  5,,,  5,  5
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
==========[ 지하철역 ] ==========,,,===,===,==========[ 지하철역 ] ==========,,,===,===,==========[ 지하철역 ] ==========,,,===,===
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  6,,,  6,  6
검색어 :  지하철역 개수 :  9,,,  9,  9,검색어 :  지하철역 개수 :  16,,, 16, 16,검색어 :  지하철역 개수 :  27,,, 27, 27
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  8,,,  8,  8
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  6,,,  6,  6
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  3,,,  3,  3
검색어 :  지하철역 개수 :  3,,,  3,  3,검색어 :  지하철역 개수 :  11,,, 11, 11,검색어 :  지하철역 개수 :  23,,, 23, 23
==========[ 은행 ] ==========,,,===,===,==========[ 은행 ] ==========,,,===,===,==========[ 은행 ] ==========,,,===,===
검색어 :  은행 개수 :  4,,,  4,  4,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  72,,, 72, 72
검색어 :  은행 개수 :  6,,,  6,  6,검색어 :  은행 개수 :  18,,, 18, 18,검색어 :  은행 개수 :  87,,, 87, 87
검색어 :  은행 개수 :  9,,,  9,  9,검색어 :  은행 개수 :  13,,, 13, 13,검색어 :  은행 개수 :  29,,, 29, 29
검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  56,,, 56, 56
검색어 :  은행 개수 :  40,,, 40, 40,검색어 :  은행 개수 :  51,,, 51, 51,검색어 :  은행 개수 :  92,,, 92, 92
검색어 :  은행 개수 :  7,,,  7,  7,검색어 :  은행 개수 :  19,,, 19, 19,검색어 :  은행 개수 :  62,,, 62, 62
검색어 :  은행 개수 :  33,,, 33, 33,검색어 :  은행 개수 :  54,,, 54, 54,검색어 :  은행 개수 :  127,,,127,127
검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  56,,, 56, 56
검색어 :  은행 개수 :  0,,,  0,  0,검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  21,,, 21, 21
검색어 :  은행 개수 :  10,,, 10, 10,검색어 :  은행 개수 :  42,,, 42, 42,검색어 :  은행 개수 :  143,,,143,143
==========[ 영화관 ] ==========,,,===,===,==========[ 영화관 ] ==========,,,===,===,==========[ 영화관 ] ==========,,,===,===
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  2,,,  2,  2
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  1,,,  1,  1,검색어 :  영화관 개수 :  1,,,  1,  1,검색어 :  영화관 개수 :  2,,,  2,  2
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
==========[ 문구점 ] ==========,,,===,===,==========[ 문구점 ] ==========,,,===,===,==========[ 문구점 ] ==========,,,===,===
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  28,,, 28, 28
검색어 :  문구점 개수 :  4,,,  4,  4,검색어 :  문구점 개수 :  10,,, 10, 10,검색어 :  문구점 개수 :  20,,, 20, 20
검색어 :  문구점 개수 :  2,,,  2,  2,검색어 :  문구점 개수 :  2,,,  2,  2,검색어 :  문구점 개수 :  6,,,  6,  6
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  3,,,  3,  3,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  4,,,  4,  4,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  5,,,  5,  5,검색어 :  문구점 개수 :  19,,, 19, 19
검색어 :  문구점 개수 :  11,,, 11, 11,검색어 :  문구점 개수 :  16,,, 16, 16,검색어 :  문구점 개수 :  33,,, 33, 33
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  3,,,  3,  3,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  7,,,  7,  7
